Open,High,Low,Volume,Adj Close
3900,3981.800049,3861.149902,1859,3706.755127
3875,3899.949951,3790,2258,3686.495605
3920,3937,3809,2090,3679.375
3865,3925,3755,2238,3643.872559
3780,3925,3780,3089,3683.341797
3880,3880,3810,1063,3649.797363
3859.949951,3880,3726,1362,3631.973877
3835,3840,3750,1798,3593.175049
3800,3870,3769,2778,3630.827148
3860,3875,3840,2297,3680.474121
3869,3870,3801.149902,1307,3654.002441
3869.949951,3925,3801,2291,3701.833252
3840,3949.699951,3840,2686,3740.442383
3885,3930,3852,1239,3690.078613
3876,4054.350098,3876,5537,3874.618408
4000,4257.100098,4000,16500,4068.379883
4301,4470,4150,20275,4271.841309
4688,4800,4551.100098,15472,4382.89209
4650,4674.950195,4412,6562,4239.875
4450,4680,4450,16100,4436.169922
4749.899902,4800,4513,8330,4365.212402
4690,4700,4421.100098,7889,4363.540039
4600,4630.850098,4486,2655,4306.868652
4510,4544,4465,2458,4274.566406
4549,4549,4260,4687,4138.71875
4395.649902,4545,4381,3691,4239.780273
4620,4620,4410,973,4244.224609
4488,4528.899902,4271.549805,5029,4125.385254
4416.5,4416.5,4260,3665,4094.277588
4310,4310,4171,3668,4006.261475
4200,4287,4175.100098,1965,4000.71875
4190,4350,4190,8769,4088.161865
4374.799805,4409,4210,1771,4035.4104
4231.100098,4282.899902,4175.049805,2245,4026.044922
4180.100098,4280,4180.100098,9282,4064.509033
4260.25,4450,4200,1979,4041.574219
4269.899902,4269.899902,4130,1500,3966.171387
4219.950195,4220,4125,1133,3966.458252
4195,4200,4055.199951,880,3928.709473
4070,4522.049805,4070,8550,4321.584473
4600,4780,4500,12186,4335.880371
4550,4600,4440,2901,4292.942871
4585,4585,4421,1425,4249.67334
4540,4540,4282.149902,1592,4113.254395
4242,4510,4115.549805,12620,4222.559082
4490,4575,4360,6169,4191.813477
4470,4545,4245,2730,4104.888672
4379,4491.700195,4295,2122,4127.168457
4380,4380,4272.049805,1462,4098.719238
4350,4600,4291.350098,10381,4286.296875
4400,4540,4400,4086,4267.027344
4519,4720,4476,14701,4407.22168
4560,4685,4410,2848,4379.774414
4649.899902,4649.899902,4505.5,4449,4341.475586
4594,4594,4492.149902,4656,4348.121094
4555,4599.5,4499,1670,4306.379883
4510,4512,4350,2621,4178.09082
4390,4469,4361,1649,4186.936523
4380,4405,4300,2352,4124.824707
4415,4415,4150,4029,4020.252197
4205,4300,3900,6443,3838.460693
4198,4199,3950,2901,3943.701172
4199,4425,4141.25,3475,4118.991211
4383.899902,4399,4225.25,1524,4063.86084
4380,4399.899902,4240,3385,4172.736328
4370,4370,4230,2045,4081.0271
4399,4496,4280,9642,4121.142578
4399,4399,4301.25,2239,4144.333984
4331,4360,4262.5,817,4116.169922
4320,4335,4250,983,4115.167969
4345,4359,4300,2026,4120.903809
4300,4350,4280,731,4134.915527
4380,4380,4280,1485,4105.604004
4388,4388,4302,1611,4150.214355
4230,4369,4230,791,4141.799316
4335,4353,4320.149902,581,4136.445313
4372,4372,4280,441,4097.666992
4206.100098,4325,4205.200195,621,4102.01709
4319,4320,4225,731,4060.801025
4300,4300,4201.200195,485,4044.064453
4330,4343,4230,330,4054.249756
4322,4322,4230,778,4048.799072
4265,4349,4250.049805,2357,4109.571777
4320,4320,4250,435,4071.320313
4251,4318,4251,775,4080.644531
4290,4309,4216,8669,4041.052734
4260,4260,4205,629,4031.394043
4211,4300,4211,1189,4096.806641
4350,4350,4225,562,4050.47168
4270,4299,4160,803,4004.140869
4299,4410,4150,9498,4010.546631
4250,4251,4127,2286,3955.750977
4203.850098,4203.850098,4062.100098,1836,3895.551758
4100,4120,4069,914,3905.449951
4110,4125,4067,3569,3921.562012
4100,4108.549805,4055,837,3906.023193
4054.100098,4110,4053.100098,682,3906.549072
4070,4110,4051,430,3901.863037
4047,4096,4000,1907,3890.148682
4067.899902,4067.899902,4000.100098,1281,3833.391602
4010.25,4036.949951,3915,1302,3771.805908
3915,3962,3900,869,3734.892578
3990,3990,3850,1410,3715.000732
3970,4120,3910,534,3758.41748
4000,4010,3825.100098,1121,3687.029297
3870,3895,3830.350098,515,3677.608887
3865,3895,3830.550049,475,3671.202881
3852,3875,3795.050049,870,3639.023438
3750,3839,3720,820,3574.472412
3752,3838,3711,1201,3575.715576
3760,3799,3732.350098,757,3587.191406
3600,3749.850098,3531,865,3546.787109
3690,3800,3650,680,3501.697754
3710,3733,3652.800049,993,3522.736328
3650,3673,3400,1208,3266.01709
3550,3570,3300,1385,3210.646484
3480,3498.899902,3250,1396,3133.664063
3325,3389.949951,3301,1433,3207.394531
3350,3369.75,3251,861,3152.225586
3398,3398,3275,1458,3199.809082
3375,3385,3300,589,3237.836426
3370,3370,3303,314,3182.812256
3360,3390,3314.100098,958,3227.128906
3379,3398,3355,498,3238.557373
3479,3479,3301,877,3301.554688
3490,3570,3451.199951,765,3415.398926
3599,3605,3485.5,1922,3375.161865
3530,3587.949951,3270.300049,1772,3314.037842
3451.25,3528.899902,3400,719,3288.877686
3530,3530,3350,755,3240.670166
3325,3390,3270,662,3173.352051
3365,3400,3310,1545,3206.050537
3374.5,3400,3325,506,3214.261719
3335,3339.850098,3270,219,3154.674316
3333,3333,3274,411,3159.523926
3325,3330,3230.050049,930,3109.778809
3265,3275,3216,367,3103.537842
3280,3290,3237,726,3116.406006
3297,3297,3220,479,3106.034424
3260,3274.949951,3240.050049,297,3120.246826
3259,3275,3222,422,3121.255615
3270,3289,3225,1123,3123.03125
3300,3314.75,3250.050049,1710,3128.601318
3289.899902,3500,3280,1267,3231.067383
3450,3470,3360,1820,3250.993408
3400,3650,3400,13237,3477.386719
3849,3849,3620,4896,3498.466309
3699,3744,3604.100098,2509,3483.724609
3610,3660,3526,2208,3498.705811
3640,3700,3600,2609,3541.87207
3720,3780,3675,2424,3540.719971
3670,3709.5,3652,645,3518.920654
3505.100098,3697.449951,3505.100098,471,3527.563477
3700,3817,3700,1541,3616.104736
3750.050049,3770,3750,1078,3616.536377
3799,3840,3751.050049,732,3653.508057
3820,3830,3780,929,3646.738525
3780,3781,3750,557,3611.110596
3770,3865,3770,624,3634.062256
3769,3810,3760.050049,587,3655.717529
3820,3844,3806.5,416,3683.662598
3848,3865,3816,656,3698.114502
3869,3920,3835,931,3701.522705
